8760	0	0	0	
8760.01	-1.#IND	-1.#IND	-1.#IND	
8760.01	-1.#IND	-1.#IND	-1.#IND	
8760.02	-1.#IND	-1.#IND	-1.#IND	
8760.03	-1.#IND	-1.#IND	-1.#IND	
8760.03	-1.#IND	-1.#IND	-1.#IND	
8760.04	-1.#IND	-1.#IND	-1.#IND	
8760.05	-1.#IND	-1.#IND	-1.#IND	
8760.05	-1.#IND	-1.#IND	-1.#IND	
8760.06	-1.#IND	-1.#IND	-1.#IND	
8760.07	-1.#IND	-1.#IND	-1.#IND	
8760.07	-1.#IND	-1.#IND	-1.#IND	
8760.08	-1.#IND	-1.#IND	-1.#IND	
8760.09	-1.#IND	-1.#IND	-1.#IND	
8760.09	-1.#IND	-1.#IND	-1.#IND	
8760.1	-1.#IND	-1.#IND	-1.#IND	
8760.11	-1.#IND	-1.#IND	-1.#IND	
8760.11	-1.#IND	-1.#IND	-1.#IND	
8760.12	-1.#IND	-1.#IND	-1.#IND	
8760.13	-1.#IND	-1.#IND	-1.#IND	
8760.13	-1.#IND	-1.#IND	-1.#IND	
8760.14	-1.#IND	-1.#IND	-1.#IND	
8760.15	-1.#IND	-1.#IND	-1.#IND	
8760.15	-1.#IND	-1.#IND	-1.#IND	
8760.16	-1.#IND	-1.#IND	-1.#IND	
8760.17	-1.#IND	-1.#IND	-1.#IND	
8760.17	-1.#IND	-1.#IND	-1.#IND	
8760.18	-1.#IND	-1.#IND	-1.#IND	
8760.19	-1.#IND	-1.#IND	-1.#IND	
8760.19	-1.#IND	-1.#IND	-1.#IND	
8760.2	-1.#IND	-1.#IND	-1.#IND	
8760.21	-1.#IND	-1.#IND	-1.#IND	
8760.21	-1.#IND	-1.#IND	-1.#IND	
8760.22	-1.#IND	-1.#IND	-1.#IND	
8760.23	-1.#IND	-1.#IND	-1.#IND	
8760.23	-1.#IND	-1.#IND	-1.#IND	
8760.24	-1.#IND	-1.#IND	-1.#IND	
8760.25	-1.#IND	-1.#IND	-1.#IND	
8760.25	-1.#IND	-1.#IND	-1.#IND	
8760.26	-1.#IND	-1.#IND	-1.#IND	
8760.27	-1.#IND	-1.#IND	-1.#IND	
8760.27	-1.#IND	-1.#IND	-1.#IND	
8760.28	-1.#IND	-1.#IND	-1.#IND	
8760.29	-1.#IND	-1.#IND	-1.#IND	
8760.29	-1.#IND	-1.#IND	-1.#IND	
8760.3	-1.#IND	-1.#IND	-1.#IND	
8760.31	-1.#IND	-1.#IND	-1.#IND	
